dataset,file_name,path,size_mb,columns,preview_error
cra,loop_financials.jsonl,C:\AI-Hackathon\Main\cra\loop_financials.jsonl,1.13,loop_id|hops|same_year|min_year|max_year|bottleneck_window|total_flow_window|bottleneck_allyears|total_flow_allyears,""
cra,loop_participants.jsonl,C:\AI-Hackathon\Main\cra\loop_participants.jsonl,3.545,bn|loop_id|position_in_loop|sends_to|receives_from,""
cra,loop_universe.jsonl,C:\AI-Hackathon\Main\cra\loop_universe.jsonl,0.428,bn|legal_name|total_loops|loops_2hop|loops_3hop|loops_4hop|loops_5hop|loops_6hop|loops_7plus|max_bottleneck|total_circular_amt|score|scored_at,""
cra,loops.jsonl,C:\AI-Hackathon\Main\cra\loops.jsonl,1.866,id|hops|path_bns|path_display|bottleneck_amt|total_flow|min_year|max_year,""
cra,matrix_census.jsonl,C:\AI-Hackathon\Main\cra\matrix_census.jsonl,3.086,bn|legal_name|walks_2|walks_3|walks_4|walks_5|walks_6|walks_7|walks_8|max_walk_length|total_walk_count|in_johnson_cycle|in_selfjoin_cycle|scc_id|scc_size,""
cra,overhead_by_charity.jsonl,C:\AI-Hackathon\Main\cra\overhead_by_charity.jsonl,162.357,bn|fiscal_year|legal_name|designation|category|revenue|total_expenditures|compensation|administration|fundraising|programs|strict_overhead|broad_overhead|strict_overhead_pct|broad_overhead_pct|outlier_flag,""
cra,overhead_by_year.jsonl,C:\AI-Hackathon\Main\cra\overhead_by_year.jsonl,0.003,fiscal_year|charities_filed|outliers_excluded|revenue|total_expenditures|compensation|administration|fundraising|programs|strict_overhead|broad_overhead|comp_pct_rev|admin_pct_rev|fundraising_pct_rev|strict_overhead_pct_rev|broad_overhead_pct_rev|comp_pct_exp|admin_pct_exp|fundraising_pct_exp|strict_overhead_pct_exp|broad_overhead_pct_exp,""
cra,overhead_by_year_designation.jsonl,C:\AI-Hackathon\Main\cra\overhead_by_year_designation.jsonl,0.007,fiscal_year|designation|charities|revenue|total_expenditures|compensation|administration|fundraising|programs|strict_overhead|broad_overhead|strict_overhead_pct_rev|broad_overhead_pct_rev|strict_overhead_pct_exp|broad_overhead_pct_exp,""
cra,partitioned_cycles.jsonl,C:\AI-Hackathon\Main\cra\partitioned_cycles.jsonl,0.029,id|hops|path_bns|path_display|bottleneck_amt|total_flow|min_year|max_year|tier|source_scc_id|source_scc_size,""
cra,scc_components.jsonl,C:\AI-Hackathon\Main\cra\scc_components.jsonl,1.356,bn|scc_id|scc_root|scc_size|legal_name,""
cra,scc_summary.jsonl,C:\AI-Hackathon\Main\cra\scc_summary.jsonl,0.09,scc_id|scc_root|node_count|edge_count|total_internal_flow|cycle_count_from_loops|cycle_count_from_johnson|top_charity_names,""
cra,t3010_completeness_issues.jsonl,C:\AI-Hackathon\Main\cra\t3010_completeness_issues.jsonl,0.0,"",Cannot infer NDJSON types on empty reader because empty string is not a valid JSON value
cra,t3010_impossibilities.jsonl,C:\AI-Hackathon\Main\cra\t3010_impossibilities.jsonl,20.916,bn|fpe|fiscal_year|legal_name|rule_code|rule_family|details|severity,""
cra,t3010_plausibility_flags.jsonl,C:\AI-Hackathon\Main\cra\t3010_plausibility_flags.jsonl,0.52,bn|fpe|fiscal_year|legal_name|rule_code|offending_field|details|severity,""
fed,agreement_type_lookup.jsonl,C:\AI-Hackathon\Main\fed\agreement_type_lookup.jsonl,0.0,code|name_en|name_fr,""
fed,country_lookup.jsonl,C:\AI-Hackathon\Main\fed\country_lookup.jsonl,0.015,code|name_en|name_fr,""
fed,currency_lookup.jsonl,C:\AI-Hackathon\Main\fed\currency_lookup.jsonl,0.006,code|name_en|name_fr,""
fed,grants_contributions.jsonl,C:\AI-Hackathon\Main\fed\grants_contributions.jsonl,3242.331,"",got non-null value for NULL-typed column: Mission-Matsqui-Fraser Canyon
fed,province_lookup.jsonl,C:\AI-Hackathon\Main\fed\province_lookup.jsonl,0.001,code|name_en|name_fr,""
