id,hops,path_bns,path_display,bottleneck_amt,total_flow,min_year,max_year,loop_id,participant_count,loop_max_govt_share_pct,loop_max_strict_overhead_pct,review_score,review_label,why_flagged
2905,6,"shape: (6,)
Series: '' [str]
[
	""107534976RR0001""
	""118974294RR0001""
	""781810312RR0001""
	""776916132RR0001""
	""129800884RR0001""
	""741413892RR0001""
]",107534976RR0001→118974294RR0001→781810312RR0001→776916132RR0001→129800884RR0001→741413892RR0001→107534976RR0001,5400.00,63684.00,2023,2024,2905,6,32.38,28.2,12.4,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3666,6,"shape: (6,)
Series: '' [str]
[
	""118812627RR0001""
	""854949864RR0001""
	""826042103RR0001""
	""118974179RR0001""
	""813983012RR0001""
	""812391845RR0001""
]",118812627RR0001→854949864RR0001→826042103RR0001→118974179RR0001→813983012RR0001→812391845RR0001→118812627RR0001,5600.00,233793.00,2022,2023,3666,6,21.79,13.96,12.4,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4245,6,"shape: (6,)
Series: '' [str]
[
	""118974179RR0001""
	""837008176RR0001""
	""806818902RR0001""
	""735511925RR0001""
	""842106080RR0001""
	""826042103RR0001""
]",118974179RR0001→837008176RR0001→806818902RR0001→735511925RR0001→842106080RR0001→826042103RR0001→118974179RR0001,5000.00,228163.00,2023,2024,4245,6,1.01,42.92,12.4,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4278,6,"shape: (6,)
Series: '' [str]
[
	""118974179RR0001""
	""842106080RR0001""
	""826042103RR0001""
	""889944872RR0001""
	""735511925RR0001""
	""809326499RR0001""
]",118974179RR0001→842106080RR0001→826042103RR0001→889944872RR0001→735511925RR0001→809326499RR0001→118974179RR0001,5000.00,224457.00,2023,2024,4278,6,1.01,42.92,12.4,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4310,6,"shape: (6,)
Series: '' [str]
[
	""118974179RR0001""
	""849969811RR0001""
	""829637305RR0001""
	""735511925RR0001""
	""119265437RR0001""
	""826042103RR0001""
]",118974179RR0001→849969811RR0001→829637305RR0001→735511925RR0001→119265437RR0001→826042103RR0001→118974179RR0001,5500.00,290530.00,2023,2024,4310,6,1.01,32.49,12.4,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
5450,6,"shape: (6,)
Series: '' [str]
[
	""703227322RR0001""
	""791411515RR0001""
	""859818908RR0001""
	""829637305RR0001""
	""748023538RR0001""
	""757628003RR0001""
]",703227322RR0001→791411515RR0001→859818908RR0001→829637305RR0001→748023538RR0001→757628003RR0001→703227322RR0001,6000.00,183793.00,2023,2024,5450,6,0.27,14.92,12.4,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
5537,6,"shape: (6,)
Series: '' [str]
[
	""718572332RR0001""
	""885159574RR0001""
	""887644664RR0001""
	""786965061RR0001""
	""849969811RR0001""
	""826042103RR0001""
]",718572332RR0001→885159574RR0001→887644664RR0001→786965061RR0001→849969811RR0001→826042103RR0001→718572332RR0001,7846.00,124603.00,2023,2024,5537,6,21.21,32.49,12.4,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
103,2,"shape: (2,)
Series: '' [str]
[
	""107951618RR0272""
	""107951618RR0451""
]",107951618RR0272→107951618RR0451→107951618RR0272,14245.00,237387.00,2020,2021,103,2,19.25,15.02,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
219,2,"shape: (2,)
Series: '' [str]
[
	""119023810RR0002""
	""119260503RR0001""
]",119023810RR0002→119260503RR0001→119023810RR0002,32775.00,124951.00,2020,2021,219,2,26.9,20.83,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
631,3,"shape: (3,)
Series: '' [str]
[
	""118974294RR0001""
	""815349311RR0001""
	""123876302RR0001""
]",118974294RR0001→815349311RR0001→123876302RR0001→118974294RR0001,10000.00,95975.00,2022,2023,631,3,22.14,34.99,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
734,3,"shape: (3,)
Series: '' [str]
[
	""132171679RR0001""
	""896568417RR0001""
	""892028242RR0001""
]",132171679RR0001→896568417RR0001→892028242RR0001→132171679RR0001,9721.00,36541.00,2021,2022,734,3,27.65,37.97,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1010,4,"shape: (4,)
Series: '' [str]
[
	""738887504RR0001""
	""826042103RR0001""
	""889944872RR0001""
	""843395195RR0001""
]",738887504RR0001→826042103RR0001→889944872RR0001→843395195RR0001→738887504RR0001,5000.00,231389.00,2023,2024,1010,4,,43.03,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, overhead context"
1098,4,"shape: (4,)
Series: '' [str]
[
	""107497125RR0001""
	""859651275RR0001""
	""821896875RR0001""
	""889427001RR0001""
]",107497125RR0001→859651275RR0001→821896875RR0001→889427001RR0001→107497125RR0001,14380.00,230614.00,2023,2024,1098,4,2.5,38.36,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1432,5,"shape: (5,)
Series: '' [str]
[
	""107869786RR0001""
	""854949864RR0001""
	""826042103RR0001""
	""889944872RR0001""
	""735511925RR0001""
]",107869786RR0001→854949864RR0001→826042103RR0001→889944872RR0001→735511925RR0001→107869786RR0001,5000.00,406015.00,2022,2023,1432,5,,13.96,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, overhead context"
1486,5,"shape: (5,)
Series: '' [str]
[
	""107951618RR0267""
	""107951618RR0451""
	""107951618RR0405""
	""107951618RR0601""
	""107951618RR0307""
]",107951618RR0267→107951618RR0451→107951618RR0405→107951618RR0601→107951618RR0307→107951618RR0267,7360.00,160511.00,2020,2021,1486,5,24.13,22.1,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1628,5,"shape: (5,)
Series: '' [str]
[
	""108225194RR0001""
	""705521300RR0001""
	""824305551RR0001""
	""776916132RR0001""
	""129800884RR0001""
]",108225194RR0001→705521300RR0001→824305551RR0001→776916132RR0001→129800884RR0001→108225194RR0001,7425.00,77441.00,2023,2024,1628,5,17.84,44.47,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
